Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.159.129-192.168.159.133-22-40576-6,192.168.159.133,40576,192.168.159.129,22,6,31-03-2024 09:55,11180561,18,32,2233,2565,1168,0,124.0555556,262.7448935,1280,0,80.15625,227.5768724,429.1376792,4.472047512,228174.7143,613054.6785,2318113,11,9660703,568276.6471,926141.4832,2360604,785,1.12E+07,360663.2581,742956.6623,2318113,96,0,0,0,0,576,1040,1.609937104,2.862110408,0,1280,94.07843137,237.080142,56206.99373,0,1,0,0,0,0,0,0,1,95.96,124.0555556,80.15625,0,0,0,0,0,0,18,2233,32,2565,-1,249,16,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-40646-6,192.168.159.133,40646,192.168.159.129,22,6,31-03-2024 09:55,9287602,18,27,2057,2405,1168,0,114.2777778,265.5626226,1280,0,89.07407407,246.7943594,480.4254101,4.845168861,211081.8636,589064.4982,2318885,26,9287021,546295.3529,890170.586,2360650,488,9185973,353306.6538,738403.1214,2318885,146,0,0,0,0,576,880,1.938067544,2.907101316,0,1280,97,249.3980308,62199.37778,0,1,0,0,0,0,0,0,1,99.15555556,114.2777778,89.07407407,0,0,0,0,0,0,18,2057,27,2405,-1,249,14,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-40606-6,192.168.159.133,40606,192.168.159.129,22,6,31-03-2024 09:55,12167624,19,31,2217,2565,1168,0,116.6842105,256.9686649,1280,0,82.74193548,230.8604149,393.0101719,4.109265704,248318.8571,670608.1512,2730139,24,1.22E+07,675952.4444,1011297.688,2772532,724,1.22E+07,405552.7,823664.8331,2730139,72,0,0,0,0,608,1008,1.561520967,2.547744736,0,1280,93.76470588,237.0665382,56200.54353,0,1,0,0,0,0,0,0,1,95.64,116.6842105,82.74193548,0,0,0,0,0,0,19,2217,31,2565,-1,249,16,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-40660-6,192.168.159.133,40660,192.168.159.129,22,6,31-03-2024 09:55,10034550,18,27,2057,2405,1168,0,114.2777778,265.5626226,1280,0,89.07407407,246.7943594,444.663687,4.484506032,228057.9545,645933.3186,2731035,17,1.00E+07,590245.1765,977435.3243,2773717,489,9932647,382024.8846,810678.0654,2731035,48,0,0,0,0,576,880,1.793802413,2.690703619,0,1280,97,249.3980308,62199.37778,0,1,0,0,0,0,0,0,1,99.15555556,114.2777778,89.07407407,0,0,0,0,0,0,18,2057,27,2405,-1,249,14,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-45126-6,192.168.159.133,45126,192.168.159.129,22,6,31-03-2024 09:55,9848714,18,27,2057,2405,1168,0,114.2777778,265.5626226,1280,0,89.07407407,246.7943594,453.0540739,4.569124456,223834.4091,625211.8405,2313086,32,9848221,579307.1176,945190.1465,2355772,593,9746782,374876.2308,783683.7925,2313086,74,0,0,0,0,576,880,1.827649782,2.741474674,0,1280,97,249.3980308,62199.37778,0,1,0,0,0,0,0,0,1,99.15555556,114.2777778,89.07407407,0,0,0,0,0,0,18,2057,27,2405,-1,249,14,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-45142-6,192.168.159.133,45142,192.168.159.129,22,6,31-03-2024 09:55,10022480,19,29,2057,2405,1168,0,108.2631579,259.4086956,1280,0,82.93103448,238.9237671,445.1991922,4.789233802,213244.2553,610762.4824,2311761,20,1.00E+07,556779.0556,930821.6647,2354192,513,9920614,354307.6429,764414.8276,2311761,47,0,0,0,0,608,944,1.89573838,2.893495422,0,1280,91.06122449,242.6189921,58863.97534,0,1,0,0,0,0,0,0,1,92.95833333,108.2631579,82.93103448,0,0,0,0,0,0,19,2057,29,2405,-1,249,14,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-45208-6,192.168.159.133,45208,192.168.159.129,22,6,31-03-2024 09:55,9281457,18,27,2057,2405,1168,0,114.2777778,265.5626226,1280,0,89.07407407,246.7943594,480.7434867,4.848376715,210942.2045,598390.7719,2313838,21,9278587,545799.2353,909269.565,2355964,761,9179325,353050.9615,751245.2374,2313838,64,0,0,0,0,576,880,1.939350686,2.909026029,0,1280,97,249.3980308,62199.37778,0,1,0,0,0,0,0,0,1,99.15555556,114.2777778,89.07407407,0,0,0,0,0,0,18,2057,27,2405,-1,249,14,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-57040-6,192.168.159.133,57040,192.168.159.129,22,6,31-03-2024 09:55,542,1,3,0,0,0,0,0,0,0,0,0,0,0,7380.073801,180.6666667,219.6823464,431,20,0,0,0,0,0,542,271,354.9676042,522,20,0,0,0,0,32,112,1845.01845,5535.055351,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,3,0,-1,227,0,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-45212-6,192.168.159.133,45212,192.168.159.129,22,6,31-03-2024 09:55,9591750,19,29,2057,2405,1168,0,108.2631579,259.4086956,1280,0,82.93103448,238.9237671,465.1914406,5.004300571,204079.7872,605307.6111,2725150,22,9591365,532853.6111,931072.3113,2814022,763,9490543,338947.9643,759886.826,2725150,49,0,0,0,0,608,944,1.980868976,3.023431595,0,1280,91.06122449,242.6189921,58863.97534,0,1,0,0,0,0,0,0,1,92.95833333,108.2631579,82.93103448,0,0,0,0,0,0,19,2057,29,2405,-1,249,14,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-45178-6,192.168.159.133,45178,192.168.159.129,22,6,31-03-2024 09:55,10280364,18,27,2057,2405,1168,0,114.2777778,265.5626226,1280,0,89.07407407,246.7943594,434.0313242,4.377276914,233644.6364,654853.2309,2724855,10,1.03E+07,604704.5882,990150.6604,2805630,596,1.02E+07,391488.3846,821026.7466,2724855,26,0,0,0,0,576,880,1.750910765,2.626366148,0,1280,97,249.3980308,62199.37778,0,1,0,0,0,0,0,0,1,99.15555556,114.2777778,89.07407407,0,0,0,0,0,0,18,2057,27,2405,-1,249,14,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
