Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.159.129-192.168.159.133-22-41576-6,192.168.159.133,41576,192.168.159.129,22,6,19/03/2024 01:29:45 PM,2108108,11,13,1417,1765,1168,0,128.8181818,346.1481816,1280,0,135.7692308,354.1346622,1509.410334,11.38461597,91656.86957,387262.2199,1866110,9,2107716,210771.6,611330.2343,1949596,269,2006678,167223.1667,535307.0779,1866110,44,0,0,0,0,352,432,5.217948986,6.166666983,0,1280,127.28,336.6678036,113345.21,0,1,0,0,0,0,0,0,1,132.5833333,128.8181818,135.7692308,0,0,0,0,0,0,11,1417,13,1765,-1,249,6,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-41592-6,192.168.159.133,41592,192.168.159.129,22,6,19/03/2024 01:29:45 PM,2068802,10,11,1417,1765,1168,0,141.7,362.0822651,1280,0,160.4545455,382.2782661,1538.088227,10.15080225,103440.1,414940.0678,1864566,17,2068329,229814.3333,643962.3743,1946113,643,1966140,196614,586284.4108,1864566,110,0,0,0,0,320,368,4.833715358,5.317086894,0,1280,144.6363636,356.240762,126907.4805,0,1,0,0,0,0,0,0,1,151.5238095,141.7,160.4545455,0,0,0,0,0,0,10,1417,11,1765,-1,249,6,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-41624-6,192.168.159.133,41624,192.168.159.129,22,6,19/03/2024 01:29:45 PM,2065885,10,11,1417,1765,1168,0,141.7,362.0822651,1280,0,160.4545455,382.2782661,1540.259985,10.16513504,103294.25,415109.3917,1865160,17,2065477,229497.4444,644285.3491,1946664,386,1964003,196400.3,586569.4505,1865160,53,0,0,0,0,320,368,4.840540495,5.324594544,0,1280,144.6363636,356.240762,126907.4805,0,1,0,0,0,0,0,0,1,151.5238095,141.7,160.4545455,0,0,0,0,0,0,10,1417,11,1765,-1,249,6,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-41724-6,192.168.159.133,41724,192.168.159.129,22,6,19/03/2024 01:29:48 PM,464,1,3,0,0,0,0,0,0,0,0,0,0,0,8620.689655,154.6666667,145.4968499,322,58,0,0,0,0,0,464,232,246.0731599,406,58,0,0,0,0,32,112,2155.172414,6465.517241,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,3,0,-1,227,0,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-41650-6,192.168.159.133,41650,192.168.159.129,22,6,19/03/2024 01:29:47 PM,1340791,10,11,1417,1765,1168,0,141.7,362.0822651,1280,0,160.4545455,382.2782661,2373.225954,15.6623963,67039.55,252868.8783,1138535,18,1340419,148935.4444,402683.9047,1221337,576,1239538,123953.8,356866.3989,1138535,46,0,0,0,0,320,368,7.458283953,8.204112349,0,1280,144.6363636,356.240762,126907.4805,0,1,0,0,0,0,0,0,1,151.5238095,141.7,160.4545455,0,0,0,0,0,0,10,1417,11,1765,-1,249,6,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-41568-6,192.168.159.133,41568,192.168.159.129,22,6,19/03/2024 01:29:45 PM,3239748,12,15,1577,1925,1168,0,131.4166667,328.4659823,1280,0,128.3333333,328.5073747,1080.948271,8.333981532,124605.6923,417520.462,1863696,10,3239298,294481.6364,644874.1955,1906916,431,3138093,224149.5,558384.1527,1863696,40,0,0,0,0,384,496,3.703991792,4.62998974,0,1280,125.0714286,317.0415242,100515.328,0,1,0,0,0,0,0,0,1,129.7037037,131.4166667,128.3333333,0,0,0,0,0,0,12,1577,15,1925,-1,249,8,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-41652-6,192.168.159.133,41652,192.168.159.129,22,6,19/03/2024 01:29:47 PM,1379598,11,13,1433,1765,1168,0,130.2727273,346.0300828,1280,0,135.7692308,354.1346622,2318.066567,17.39637199,59982.52174,235779.9432,1138227,17,1379112,137911.2,380712.8734,1219681,253,1278003,106500.25,325385.7805,1138227,47,0,0,0,0,352,432,7.973337161,9.423034826,0,1280,127.92,336.6210679,113313.7433,0,1,0,0,0,0,0,0,1,133.25,130.2727273,135.7692308,0,0,0,0,0,0,11,1433,13,1765,-1,249,6,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-41678-6,192.168.159.133,41678,192.168.159.129,22,6,19/03/2024 01:29:47 PM,1341704,10,11,1417,1765,1168,0,141.7,362.0822651,1280,0,160.4545455,382.2782661,2371.611026,15.65173839,67085.2,253668.3313,1141961,16,1341332,149036.8889,403908.4764,1224699,496,1240317,124031.7,358046.0741,1141961,32,0,0,0,0,320,368,7.453208755,8.198529631,0,1280,144.6363636,356.240762,126907.4805,0,1,0,0,0,0,0,0,1,151.5238095,141.7,160.4545455,0,0,0,0,0,0,10,1417,11,1765,-1,249,6,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-41682-6,192.168.159.133,41682,192.168.159.129,22,6,19/03/2024 01:29:47 PM,1379135,11,13,1417,1765,1168,0,128.8181818,346.1481816,1280,0,135.7692308,354.1346622,2307.243308,17.40221226,59962.3913,235720.082,1138015,13,1378612,137861.2,382861.467,1225998,305,1277236,106436.3333,325322.9444,1138015,52,0,0,0,0,352,432,7.976013951,9.426198305,0,1280,127.28,336.6678036,113345.21,0,1,0,0,0,0,0,0,1,132.5833333,128.8181818,135.7692308,0,0,0,0,0,0,11,1417,13,1765,-1,249,6,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-41608-6,192.168.159.133,41608,192.168.159.129,22,6,19/03/2024 01:29:45 PM,3241655,12,15,1593,1925,1168,0,132.75,328.3415973,1280,0,128.3333333,328.5073747,1085.248122,8.329078819,124679.0385,417931.8928,1865071,19,3240475,294588.6364,645334.0089,1907354,507,3140263,224304.5,558943.0892,1865071,31,0,0,0,0,384,496,3.701812809,4.627266011,0,1280,125.6428571,317.0016023,100490.0159,0,1,0,0,0,0,0,0,1,130.2962963,132.75,128.3333333,0,0,0,0,0,0,12,1593,15,1925,-1,249,8,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-41702-6,192.168.159.133,41702,192.168.159.129,22,6,19/03/2024 01:29:47 PM,1344554,10,11,1417,1765,1168,0,141.7,362.0822651,1280,0,160.4545455,382.2782661,2366.584012,15.61856199,67227.7,253142.2336,1139960,29,1344032,149336.8889,403457.3189,1223921,422,1242969,124296.9,357220.7569,1139960,100,0,0,0,0,320,368,7.437410472,8.181151519,0,1280,144.6363636,356.240762,126907.4805,0,1,0,0,0,0,0,0,1,151.5238095,141.7,160.4545455,0,0,0,0,0,0,10,1417,11,1765,-1,249,6,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-41710-6,192.168.159.133,41710,192.168.159.129,22,6,19/03/2024 01:29:47 PM,1359620,10,11,1417,1765,1168,0,141.7,362.0822651,1280,0,160.4545455,382.2782661,2340.359806,15.44549212,67981,253890.6233,1143897,13,1359144,151016,403030.7263,1224398,310,1258251,125825.1,358046.3454,1143897,54,0,0,0,0,320,368,7.354996249,8.090495874,0,1280,144.6363636,356.240762,126907.4805,0,1,0,0,0,0,0,0,1,151.5238095,141.7,160.4545455,0,0,0,0,0,0,10,1417,11,1765,-1,249,6,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-41718-6,192.168.159.133,41718,192.168.159.129,22,6,19/03/2024 01:29:47 PM,1368814,10,11,1417,1765,1168,0,141.7,362.0822651,1280,0,160.4545455,382.2782661,2324.640163,15.3417484,68440.7,251959.6121,1135969,32,1368038,152004.2222,400338.4391,1218120,565,1266482,126648.2,355029.3115,1135969,94,0,0,0,0,320,368,7.305594478,8.036153926,0,1280,144.6363636,356.240762,126907.4805,0,1,0,0,0,0,0,0,1,151.5238095,141.7,160.4545455,0,0,0,0,0,0,10,1417,11,1765,-1,249,6,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-41804-6,192.168.159.133,41804,192.168.159.129,22,6,19/03/2024 01:29:50 PM,536,1,3,0,0,0,0,0,0,0,0,0,0,0,7462.686567,178.6666667,155.5645632,353,54,0,0,0,0,0,536,268,302.6417023,482,54,0,0,0,0,32,112,1865.671642,5597.014925,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,3,0,-1,227,0,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
